,Unnamed: 0,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
0,1,Alfred Finnbogason,"€ 38,269","€ 1,990,000","€ 2,052,545",F,30,Iceland,Augsburg,Bundesliga,2019-2020
1,2,André Hahn,"€ 34,615","€ 1,800,000","€ 1,856,573",F,29,Germany,Augsburg,Bundesliga,2019-2020
2,3,Stephan Lichtsteiner,"€ 28,846","€ 1,500,000","€ 1,547,145",D,35,Switzerland,Augsburg,Bundesliga,2019-2020
3,4,Carlos Gruezo,"€ 28,846","€ 1,500,000","€ 1,547,145",M,24,Ecuador,Augsburg,Bundesliga,2019-2020
4,5,Daniel Baier,"€ 28,846","€ 1,500,000","€ 1,547,145",M,35,Germany,Augsburg,Bundesliga,2019-2020
5,6,Eduard Löwen,"€ 28,846","€ 1,500,000","€ 1,547,145",M,23,Germany,Augsburg,Bundesliga,2019-2020
6,7,Florian Niederlechner,"€ 28,846","€ 1,500,000","€ 1,547,145",F,28,Germany,Augsburg,Bundesliga,2019-2020
7,8,Tin Jedvaj,"€ 28,846","€ 1,500,000","€ 1,547,145",D,23,Croatia,Augsburg,Bundesliga,2019-2020
8,9,Philipp Max,"€ 23,077","€ 1,200,000","€ 1,237,716",D,25,Germany,Augsburg,Bundesliga,2019-2020
9,10,Jeffrey Gouweleeuw,"€ 23,077","€ 1,200,000","€ 1,237,716",D,28,Netherlands,Augsburg,Bundesliga,2019-2020
10,11,Tomas Koubek,"€ 21,154","€ 1,100,000","€ 1,134,573",K,27,Czech Republic,Augsburg,Bundesliga,2019-2020
11,12,Iago,"€ 19,231","€ 1,000,000","€ 1,031,430",D,22,Brazil,Augsburg,Bundesliga,2019-2020
12,13,Michael Gregoritsch,"€ 19,231","€ 1,000,000","€ 1,031,430",F,25,Austria,Augsburg,Bundesliga,2019-2020
13,14,Reece Oxford,"€ 15,385","€ 800,000","€ 825,144",D,20,England,Augsburg,Bundesliga,2019-2020
14,15,Marek Suchy,"€ 15,385","€ 800,000","€ 825,144",D,31,Czech Republic,Augsburg,Bundesliga,2019-2020
15,16,Fabian Giefer,"€ 15,000","€ 780,000","€ 804,515",K,29,Germany,Augsburg,Bundesliga,2019-2020
16,17,Julian Schieber,"€ 13,462","€ 700,000","€ 722,001",F,30,Germany,Augsburg,Bundesliga,2019-2020
17,18,Felix Uduokhai,"€ 11,923","€ 620,000","€ 639,486",D,22,Germany,Augsburg,Bundesliga,2019-2020
18,19,Noah Sarenren Bazee,"€ 11,538","€ 600,000","€ 618,858",F,23,Nigeria,Augsburg,Bundesliga,2019-2020
19,20,Ruben Vargas,"€ 11,538","€ 600,000","€ 618,858",F,21,Switzerland,Augsburg,Bundesliga,2019-2020
20,21,Rani Khedira,"€ 10,000","€ 520,000","€ 536,343",M,25,Germany,Augsburg,Bundesliga,2019-2020
21,22,Jan Morávek,"€ 10,000","€ 520,000","€ 536,343",M,29,Czech Republic,Augsburg,Bundesliga,2019-2020
22,23,Fredrik Jensen,"€ 9,615","€ 500,000","€ 515,715",F,22,Finland,Augsburg,Bundesliga,2019-2020
23,24,Marco Richter,"€ 9,615","€ 500,000","€ 515,715",F,21,Germany,Augsburg,Bundesliga,2019-2020
24,25,Raphael Framberger,"€ 9,615","€ 500,000","€ 515,715",D,24,Germany,Augsburg,Bundesliga,2019-2020
25,26,Georg Teigl,"€ 9,615","€ 500,000","€ 515,715",M,28,Austria,Augsburg,Bundesliga,2019-2020
26,27,Mads Pedersen,"€ 8,462","€ 440,000","€ 453,829",D,23,Denmark,Augsburg,Bundesliga,2019-2020
27,28,Andreas Luthe,"€ 6,923","€ 360,000","€ 371,315",K,32,Germany,Augsburg,Bundesliga,2019-2020
28,29,Felix Götze,"€ 4,423","€ 230,000","€ 237,229",M,21,Germany,Augsburg,Bundesliga,2019-2020
29,30,Sergio Córdova,"€ 4,423","€ 230,000","€ 237,229",F,22,Venezuela,Augsburg,Bundesliga,2019-2020
30,31,Simon Asta,"€ 3,846","€ 200,000","€ 206,286",D,18,Germany,Augsburg,Bundesliga,2019-2020
31,32,Benjamin Leneis,"€ 1,538","€ 80,000","€ 82,514",K,20,Germany,Augsburg,Bundesliga,2019-2020
32,33,Jozo Stanic,€ 962,"€ 50,000","€ 51,571",D,20,Croatia,Augsburg,Bundesliga,2019-2020
33,34,Seong-hoon Cheon,€ 577,"€ 30,000","€ 30,943",F,18,South Korea,Augsburg,Bundesliga,2019-2020
34,35,Maurice Malone,€ 577,"€ 30,000","€ 30,943",F,19,Germany,Augsburg,Bundesliga,2019-2020
35,36,Caiuby,€ 0,€ 0,€ 0,F,31,Brazil,Augsburg,Bundesliga,2019-2020
0,1,Kerem Demirbay,"€ 61,538","€ 3,200,000","€ 3,300,575",M,26,Germany,Bayer Leverkusen,Bundesliga,2019-2020
1,2,Aleksandar Dragovic,"€ 57,692","€ 3,000,000","€ 3,094,289",D,28,Austria,Bayer Leverkusen,Bundesliga,2019-2020
2,3,Nadiem Amiri,"€ 57,692","€ 3,000,000","€ 3,094,289",F,22,Germany,Bayer Leverkusen,Bundesliga,2019-2020
3,4,Lucas Alario,"€ 56,923","€ 2,960,000","€ 3,053,032",F,26,Argentina,Bayer Leverkusen,Bundesliga,2019-2020
4,5,Sven Bender,"€ 50,000","€ 2,600,000","€ 2,681,717",D,30,Germany,Bayer Leverkusen,Bundesliga,2019-2020
5,6,Karim Bellarabi,"€ 50,000","€ 2,600,000","€ 2,681,717",F,29,Germany,Bayer Leverkusen,Bundesliga,2019-2020
6,7,Kevin Volland,"€ 50,000","€ 2,600,000","€ 2,681,717",F,27,Germany,Bayer Leverkusen,Bundesliga,2019-2020
7,8,Lukas Hradecky,"€ 46,154","€ 2,400,000","€ 2,475,431",K,29,Finland,Bayer Leverkusen,Bundesliga,2019-2020
8,9,Lars Bender,"€ 40,385","€ 2,100,000","€ 2,166,002",M,30,Germany,Bayer Leverkusen,Bundesliga,2019-2020
9,10,Leon Bailey,"€ 40,385","€ 2,100,000","€ 2,166,002",F,22,Jamaica,Bayer Leverkusen,Bundesliga,2019-2020
10,11,Kai Havertz,"€ 38,462","€ 2,000,000","€ 2,062,859",F,20,Germany,Bayer Leverkusen,Bundesliga,2019-2020
11,12,Moussa Diaby,"€ 38,462","€ 2,000,000","€ 2,062,859",F,20,France,Bayer Leverkusen,Bundesliga,2019-2020
12,13,Panagiotis Retsos,"€ 38,462","€ 2,000,000","€ 2,062,859",D,21,Greece,Bayer Leverkusen,Bundesliga,2019-2020
13,14,Julian Baumgartlinger,"€ 38,269","€ 1,990,000","€ 2,052,545",M,31,Austria,Bayer Leverkusen,Bundesliga,2019-2020
14,15,Exequiel Palacios,"€ 32,692","€ 1,700,000","€ 1,753,430",M,21,Argentina,Bayer Leverkusen,Bundesliga,2019-2020
15,16,Jonathan Tah,"€ 28,846","€ 1,500,000","€ 1,547,145",D,23,Germany,Bayer Leverkusen,Bundesliga,2019-2020
16,17,Paulinho,"€ 28,846","€ 1,500,000","€ 1,547,145",F,19,Brazil,Bayer Leverkusen,Bundesliga,2019-2020
17,18,Daley Sinkgraven,"€ 28,846","€ 1,500,000","€ 1,547,145",D,24,Netherlands,Bayer Leverkusen,Bundesliga,2019-2020
18,19,Charles Aránguiz,"€ 28,846","€ 1,500,000","€ 1,547,145",M,30,Chile,Bayer Leverkusen,Bundesliga,2019-2020
19,20,Mitchell Weiser,"€ 28,846","€ 1,500,000","€ 1,547,145",D,25,Germany,Bayer Leverkusen,Bundesliga,2019-2020
20,21,Edmond Tapsoba,"€ 21,154","€ 1,100,000","€ 1,134,573",D,21,Burkina Faso,Bayer Leverkusen,Bundesliga,2019-2020
21,22,Wendell,"€ 19,231","€ 1,000,000","€ 1,031,430",D,26,Brazil,Bayer Leverkusen,Bundesliga,2019-2020
22,23,Joel Pohjanpalo,"€ 19,231","€ 1,000,000","€ 1,031,430",F,24,Finland,Bayer Leverkusen,Bundesliga,2019-2020
23,24,Ramazan Özcan,"€ 15,000","€ 780,000","€ 804,515",K,35,Austria,Bayer Leverkusen,Bundesliga,2019-2020
24,25,Niklas Lomb,"€ 2,500","€ 130,000","€ 134,086",K,26,Germany,Bayer Leverkusen,Bundesliga,2019-2020
25,26,Adrian Stanilewicz,"€ 1,154","€ 60,000","€ 61,886",M,19,Poland,Bayer Leverkusen,Bundesliga,2019-2020
0,1,Robert Lewandowski,"€ 442,308","€ 23,000,000","€ 23,722,883",F,31,Poland,Bayern Munich,Bundesliga,2019-2020
1,2,Thomas Müller,"€ 384,615","€ 20,000,000","€ 20,628,594",F,29,Germany,Bayern Munich,Bundesliga,2019-2020
2,3,Manuel Neuer,"€ 384,615","€ 20,000,000","€ 20,628,594",K,33,Germany,Bayern Munich,Bundesliga,2019-2020
3,4,Lucas Hernández,"€ 346,154","€ 18,000,000","€ 18,565,735",D,23,France,Bayern Munich,Bundesliga,2019-2020
4,5,Jérôme Boateng,"€ 230,769","€ 12,000,000","€ 12,377,156",D,31,Germany,Bayern Munich,Bundesliga,2019-2020
5,6,Thiago,"€ 230,769","€ 12,000,000","€ 12,377,156",M,28,Spain,Bayern Munich,Bundesliga,2019-2020
6,7,Alphonso Davies,"€ 216,346","€ 11,250,000","€ 11,603,584",F,18,Canada,Bayern Munich,Bundesliga,2019-2020
7,8,Philippe Coutinho,"€ 215,385","€ 11,200,000","€ 11,552,013",F,27,Brazil,Bayern Munich,Bundesliga,2019-2020
8,9,David Alaba,"€ 192,308","€ 10,000,000","€ 10,314,297",D,27,Austria,Bayern Munich,Bundesliga,2019-2020
9,10,Leon Goretzka,"€ 192,308","€ 10,000,000","€ 10,314,297",M,24,Germany,Bayern Munich,Bundesliga,2019-2020
10,11,Serge Gnabry,"€ 153,846","€ 8,000,000","€ 8,251,438",F,24,Germany,Bayern Munich,Bundesliga,2019-2020
11,12,Kingsley Coman,"€ 153,846","€ 8,000,000","€ 8,251,438",F,23,France,Bayern Munich,Bundesliga,2019-2020
12,13,Joshua Kimmich,"€ 151,923","€ 7,900,000","€ 8,148,295",D,24,Germany,Bayern Munich,Bundesliga,2019-2020
13,14,Ivan Perisic,"€ 142,308","€ 7,400,000","€ 7,632,580",F,30,Croatia,Bayern Munich,Bundesliga,2019-2020
14,15,Niklas Süle,"€ 134,615","€ 7,000,000","€ 7,220,008",D,24,Germany,Bayern Munich,Bundesliga,2019-2020
15,16,Corentin Tolisso,"€ 134,615","€ 7,000,000","€ 7,220,008",M,25,France,Bayern Munich,Bundesliga,2019-2020
16,17,Javi Martínez,"€ 115,385","€ 6,000,000","€ 6,188,578",M,31,Spain,Bayern Munich,Bundesliga,2019-2020
17,18,Benjamin Pavard,"€ 96,154","€ 5,000,000","€ 5,157,148",D,23,France,Bayern Munich,Bundesliga,2019-2020
18,19,Álvaro Odriozola,"€ 70,577","€ 3,670,000","€ 3,785,347",D,24,Spain,Bayern Munich,Bundesliga,2019-2020
19,20,Sven Ulreich,"€ 48,077","€ 2,500,000","€ 2,578,574",K,31,Germany,Bayern Munich,Bundesliga,2019-2020
20,21,Michaël Cuisance,"€ 28,846","€ 1,500,000","€ 1,547,145",M,20,France,Bayern Munich,Bundesliga,2019-2020
21,22,Fiete Arp,"€ 19,231","€ 1,000,000","€ 1,031,430",F,19,Germany,Bayern Munich,Bundesliga,2019-2020
22,23,Sarpreet Singh,"€ 9,615","€ 500,000","€ 515,715",F,20,New Zealand,Bayern Munich,Bundesliga,2019-2020
23,24,Christian Früchtl,"€ 9,615","€ 500,000","€ 515,715",K,19,Germany,Bayern Munich,Bundesliga,2019-2020
24,25,Lars Lukas Mai,"€ 6,731","€ 350,000","€ 361,000",D,19,Germany,Bayern Munich,Bundesliga,2019-2020
25,26,Leon Dajaku,"€ 4,808","€ 250,000","€ 257,857",F,18,Germany,Bayern Munich,Bundesliga,2019-2020
26,27,Ron-Thorben Hoffmann,"€ 1,923","€ 100,000","€ 103,143",K,20,Germany,Bayern Munich,Bundesliga,2019-2020
0,1,Marco Reus,"€ 211,538","€ 11,000,000","€ 11,345,727",F,30,Germany,Borussia Dortmund,Bundesliga,2019-2020
1,2,Mats Hummels,"€ 192,308","€ 10,000,000","€ 10,314,297",D,30,Germany,Borussia Dortmund,Bundesliga,2019-2020
2,3,Mario Götze,"€ 192,308","€ 10,000,000","€ 10,314,297",F,27,Germany,Borussia Dortmund,Bundesliga,2019-2020
3,4,Emre Can,"€ 173,077","€ 9,000,000","€ 9,282,867",M,26,Germany,Borussia Dortmund,Bundesliga,2019-2020
4,5,Axel Witsel,"€ 153,846","€ 8,000,000","€ 8,251,438",M,30,Belgium,Borussia Dortmund,Bundesliga,2019-2020
5,6,Erling Haaland,"€ 151,923","€ 7,900,000","€ 8,148,295",F,19,Norway,Borussia Dortmund,Bundesliga,2019-2020
6,7,Thomas Delaney,"€ 115,385","€ 6,000,000","€ 6,188,578",M,28,Denmark,Borussia Dortmund,Bundesliga,2019-2020
7,8,Mahmoud Dahoud,"€ 94,231","€ 4,900,000","€ 5,054,006",M,23,Germany,Borussia Dortmund,Bundesliga,2019-2020
8,9,Julian Brandt,"€ 76,923","€ 4,000,000","€ 4,125,719",F,23,Germany,Borussia Dortmund,Bundesliga,2019-2020
9,10,Julian Weigl,"€ 76,731","€ 3,990,000","€ 4,115,404",M,24,Germany,Borussia Dortmund,Bundesliga,2019-2020
10,11,Paco Alcácer,"€ 76,731","€ 3,990,000","€ 4,115,404",F,26,Spain,Borussia Dortmund,Bundesliga,2019-2020
11,12,Lukasz Piszczek,"€ 76,731","€ 3,990,000","€ 4,115,404",D,34,Poland,Borussia Dortmund,Bundesliga,2019-2020
12,13,Marcel Schmelzer,"€ 76,731","€ 3,990,000","€ 4,115,404",D,31,Germany,Borussia Dortmund,Bundesliga,2019-2020
13,14,Jadon Sancho,"€ 61,538","€ 3,200,000","€ 3,300,575",F,19,England,Borussia Dortmund,Bundesliga,2019-2020
14,15,Roman Bürki,"€ 57,692","€ 3,000,000","€ 3,094,289",K,28,Switzerland,Borussia Dortmund,Bundesliga,2019-2020
15,16,Manuel Akanji,"€ 48,077","€ 2,500,000","€ 2,578,574",D,24,Switzerland,Borussia Dortmund,Bundesliga,2019-2020
16,17,Raphaël Guerreiro,"€ 38,462","€ 2,000,000","€ 2,062,859",M,25,Portugal,Borussia Dortmund,Bundesliga,2019-2020
17,18,Thorgan Hazard,"€ 30,769","€ 1,600,000","€ 1,650,288",F,26,Belgium,Borussia Dortmund,Bundesliga,2019-2020
